f,zr,zi
3.16E-03,4.95E-02,-2.04E-02
3.98E-03,4.78E-02,-1.83E-02
5.01E-03,4.61E-02,-1.63E-02
6.31E-03,4.46E-02,-1.46E-02
7.94E-03,4.31E-02,-1.30E-02
1.00E-02,4.18E-02,-1.16E-02
1.26E-02,4.06E-02,-1.03E-02
1.58E-02,3.95E-02,-9.11E-03
2.00E-02,3.86E-02,-8.04E-03
2.51E-02,3.77E-02,-7.08E-03
3.16E-02,3.70E-02,-6.21E-03
3.98E-02,3.64E-02,-5.45E-03
5.01E-02,3.59E-02,-4.80E-03
6.31E-02,3.54E-02,-4.26E-03
7.94E-02,3.51E-02,-3.82E-03
1.00E-01,3.47E-02,-3.47E-03
1.26E-01,3.44E-02,-3.19E-03
1.58E-01,3.41E-02,-2.98E-03
2.00E-01,3.38E-02,-2.84E-03
2.51E-01,3.35E-02,-2.75E-03
3.16E-01,3.33E-02,-2.71E-03
3.98E-01,3.30E-02,-2.72E-03
5.01E-01,3.27E-02,-2.77E-03
6.31E-01,3.23E-02,-2.87E-03
7.94E-01,3.20E-02,-3.00E-03
1.00E+00,3.16E-02,-3.16E-03
1.26E+00,3.11E-02,-3.43E-03
1.58E+00,3.05E-02,-3.65E-03
2.00E+00,2.99E-02,-3.90E-03
2.51E+00,2.94E-02,-4.15E-03
3.16E+00,2.86E-02,-4.36E-03
3.98E+00,2.79E-02,-4.53E-03
5.01E+00,2.71E-02,-4.62E-03
6.31E+00,2.62E-02,-4.63E-03
7.94E+00,2.54E-02,-4.56E-03
1.00E+01,2.47E-02,-4.42E-03
1.26E+01,2.40E-02,-4.21E-03
1.58E+01,2.34E-02,-3.98E-03
2.00E+01,2.28E-02,-3.73E-03
2.51E+01,2.23E-02,-3.56E-03
3.16E+01,2.18E-02,-3.35E-03
3.98E+01,2.14E-02,-3.18E-03
5.01E+01,2.10E-02,-3.05E-03
6.31E+01,2.06E-02,-2.94E-03
7.94E+01,2.02E-02,-2.85E-03
1.00E+02,1.98E-02,-2.76E-03
1.26E+02,1.94E-02,-2.68E-03
1.58E+02,1.90E-02,-2.58E-03
2.00E+02,1.86E-02,-2.46E-03
2.51E+02,1.82E-02,-2.32E-03
3.16E+02,1.78E-02,-2.15E-03
3.98E+02,1.74E-02,-1.95E-03
5.01E+02,1.70E-02,-1.72E-03
6.31E+02,1.67E-02,-1.44E-03
7.94E+02,1.63E-02,-1.11E-03
1.00E+03,1.61E-02,-7.29E-04
1.26E+03,1.58E-02,-2.83E-04
1.58E+03,1.56E-02,2.42E-04
2.00E+03,1.54E-02,8.56E-04
2.51E+03,1.52E-02,1.58E-03
3.16E+03,1.52E-02,2.45E-03
3.98E+03,1.51E-02,3.49E-03
5.01E+03,1.51E-02,4.71E-03
6.31E+03,1.53E-02,6.24E-03
7.94E+03,1.55E-02,8.03E-03
1.00E+04,1.58E-02,1.02E-02
